baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Cdkn1b	1280.83107006851	-0.758647114411012	1.2578559473386	-0.603127183216944	0.546424084115639	0.999114747917564
Klf4	1208.18342289166	1.90314693225305	1.63233011488889	1.16590811802954	0.243651596415403	0.999114747917564
Ap1m1	3231.69138165215	0.549372251212448	1.5777896388273	0.348191062796414	0.727696699204964	0.999114747917564
Rab8a	3094.14773670575	-0.149666271578653	1.5067799171625	-0.0993285548034767	0.920877407064944	0.999114747917564
Hmgn2	621.7520858398	-1.14737333076418	0.545449154953663	-2.1035385614662	0.03541871814403	0.571571906557098
Fam32a	3280.73621257986	-1.43177844974319	1.44548308804485	-0.99051899090691	0.321920511450825	0.999114747917564
Stard3nl	472.946109785754	-2.93514064906311	2.2650449336827	-1.29584212896427	0.195029880389848	0.999114747917564
Stk11	2441.88803782292	-0.0104121247494281	1.6231568872306	-0.00641473712821014	0.994881815385053	0.999114747917564
Atp5d	11242.3293853014	0.428982018843234	0.461444882432111	0.92964953166719	0.352552572929181	0.999114747917564
Ppp5c	2095.74966744171	0.554799621736735	1.29724649491994	0.427674789571102	0.668887906836712	0.999114747917564
Pafah1b2	750.819895893613	-0.993833620276854	2.30942744562729	-0.4303376675282	0.666950030482167	0.999114747917564
Slc2a3	2350.76042001162	2.42752317152057	1.80953208027653	1.34151983155203	0.179751735322208	0.999114747917564
Sri	4608.07629122528	-0.491389024496766	0.300483706623429	-1.63532668715572	0.101980581978111	0.861608795105923
Irf3	1991.51258735365	-1.4814440343886	2.43062328790303	-0.609491418008539	0.542198759459228	0.999114747917564
Sh3gl1	3955.86863750949	-0.565317285490819	1.15612619323824	-0.488975415311196	0.624859102210632	0.999114747917564
Ranbp2	417.062048193136	-0.916769113028967	1.94327275435944	-0.471765536244119	0.637094152908663	0.999114747917564
